playerid,difference
lefebji01,0
leibeha01,6
leiteal01,9
lemahdj01,3
lemonbo01,7
leonade01,12
leonadu01,1
leonadu02,6
leonaje01,10
lestejo01,2
lewisda01,4
lezcasi01,5
lidgebr01,6
liebemi01,5
limajo01,5
linceti01,1
lindad01,3
lindjo01,5
lindofr01,1
lindsfr01,4
liriafr01,5
listapa01,0
loberha01,8
loducpa01,7
loftoke01,2
lolicmi01,5
lollash01,11
lombaer01,7
lonboji01,2
longoev01,0
lopesda01,6
lopezal01,5
lopezfe01,4
lopezja01,4
lordha01,1
loretma01,9
lowede01,5
lowelmi01,5
lucasre01,6
ludwiry01,6
luquedo01,9
luzingr01,5
lylesp01,5
lynnfr01,1
lyonste01,2
macfada01,10
machama01,1
maddoga01,3
maddugr01,4
madlobi01,2
mageesh01,6
maglisa01,6
maisefr01,2
maldoma01,6
malonpa02,1
malzofr01,2
mamaual01,2
manniri01,1
mantlmi01,1
manushe01,3
manwaki01,6
maranra01,2
marchph01,2
maricju01,3
marioma01,2
marisro01,3
markani01,5
marquja01,5
marquru01,3
marshmi01,6
marshwi01,5
martest01,3
martibi02,3
martied01,5
martijd02,4
martipe01,7
martipe02,5
martiru01,1
martiti02,7
martivi01,2
masiph01,9
mathech01,5
matheed01,3
mathemi01,6
matlajo01,1
matsuhi01,6
matthga01,1
mattido01,2
mauerjo01,2
maxvida01,6
maybejo01,5
mayle01,6
mayoed01,9
maysca01,6
mayswi01,0
mazerbi01,2
mcbeaal01,3
mcbriba01,1
mccanbr01,1
mccarti01,8
mccorfr01,4
mccormi03,11
mccovwi01,0
mcculcl01,6
mccutan01,3
mcdanli01,5
mcdougi01,0
mcdowja01,5
mcdowsa01,9
mcgeewi01,1
mcgehca01,6
mcgratu01,15
mcgrifr01,3
mcgwima01,1
mcinnst01,3
mclaide01,5
mclouna01,3
mcmilro01,6
mcnalda01,6
mcquige02,11
mcraeha01,8
mcreyke01,5
mcwilla01,5
medwijo01,1
melanma01,6
melilsk01,5
merriji01,5
mesajo01,8
messean01,6
metzgbu01,2
metzgro01,3
meyerch01,2
michaca01,6
mientdo01,3
millafe01,3
millean01,9
milleed03,4
milleri01,7
millest01,9
minosmi01,8
mitchke01,5
mizejo01,1
molinbe01,4
molinya01,4
molitpa01,9
mondera01,1
montawi01,10
montejo01,1
montgje01,6
moonwa01,0
moorejo02,4
moralke01,9
morame01,5
morelmi01,6
morenom01,4
morgajo02,9
morneju01,3
morried02,6
morrija02,4
morrijo04,3
mortoca01,1
mosebll01,3
moseswa01,1
mostijo01,8
moustmi01,6
moyerja01,13
muellbi02,7
muldema01,1
mullige01,7
munsoth01,1
murcebo01,6
murphda05,6
murphda08,7
murphdw01,2
murraed02,0
musiast01,2
mussimi01,4
myershy01,10
myersra01,5
myerswi01,0
nathajo01,5
neaglde01,6
nealch01,3
nehfar01,6
nenro01,8
nettlgr01,8
newcodo01,0
newhoha01,5
newsobo01,9
newsodi01,0
nichobi01,4
niekrjo01,12
niekrph01,14
nokesma01,2
nolanga01,8
nomohi01,0
norrimi01,5
odoulle01,10
oestero01,10
ofarrbo01,8
oglivbe01,9
olerujo01,4
olivato01,2
oliveal01,7
olsongr01,1
oneilst01,7
oneilti01,4
ordonma01,3
ordonre01,1
ortizda01,7
oswalro01,4
otisam01,4
ottme01,8
owenma01,5
owenmi01,5
owingmi01,0
ozunama01,4
pafkoan01,2
pagejo01,5
pagnoto01,4
palmede01,9
palmeji01,6
palmera01,11
panikjo01,2
papeljo01,2
parkeda01,2
parkewe01,3
parneme01,2
parrage01,2
parrila02,3
paskedo01,5
pearsal02,0
peavyja01,5
peckiro01,9
pedrodu01,1
penaca01,6
penato01,3
pendlte01,3
pennohe01,12
pepitjo01,1
perezed02,4
perezne01,4
perezsa02,2
perezto01,3
perkicy01,8
perraro01,8
perryga01,10
perryji01,11
peskyjo01,0
peterga01,4
petrori01,6
pettian01,1
pettiga01,3
pettyje01,5
phillbr01,6
piazzmi01,1
piercbi02,11
piersji01,8
pierzaj01,14
pinielo01,5
pinsova01,3
pippwa01,10
planked01,8
podrejo01,2
polanpl01,8
polleho01,5
polloaj01,3
porceri01,7
portebo01,5
porteda02,8
portuma01,9
posadjo01,5
poseybu01,1
powelbo01,5
powervi01,4
priceda01,4
puckeki01,2
pujolal01,0
purkebo01,8
putzjj01,4
quentca01,2
quiseda01,1
radatdi01,0
radboch01,4
raderdo02,3
raineti01,4
ramiral03,2
ramirar01,10
ramirha01,1
ramirjo01,4
ramirma02,2
ramoswi01,6
randowi01,2
raschvi01,2
rayjo01,2
reardje01,6
reddijo01,3
reesepe01,6
reesepo01,2
reganph01,6
reisepe01,1
reitzke01,3
rendoan01,1
renteed01,4
retteme01,3
reulbed01,3
reuscri01,5
reyesjo01,3
reynoal01,5
reynoha01,5
rhodedu01,2
rhoderi01,10
riceji01,1
ricesa01,5
richabo01,5
richapa01,13
riddlel01,2
righeda01,2
rijojo01,6
ripkeca01,1
riverma01,2
rivermi01,6
rixeyep01,10
rizzoan01,3
rizzuph01,8
roberbr01,4
roberda01,4
roberro01,4
robinaa01,3
robinbr01,5
robindo01,4
robinfr02,0
robinja02,0
rodnefe01,10
rodrial01,2
rodriau01,9
rodrifr03,4
rodriiv01,1
roepr01,13
rogerke01,11
rogerst01,9
rojasco01,9
rojasmi01,1
rolensc01,1
rolfere01,6
rolliji01,7
rommeed01,2
rootch01,4
rosebjo01,4
rosenal01,6
rosengo01,8
rosepe01,0
rossco01,7
roushed01,4
rowanaa01,6
rowesc01,1
ruckena01,1
rudijo01,5
ruelmu01,10
ruethdu01,5
ruffire01,13
rusieam01,5
russebi01,4
russeje01,6
ruthba01,2
ryanno01,11
sabatcc01,6
saberbr01,1
saboch01,0
saiervi01,4
sainjo01,4
salech01,7
salmoti01,1
samueju01,4
sanchga02,2
sandbry01,2
sandeke01,7
sandera01,2
sandere02,4
sandopa01,4
sanfoja02,1
sanguma01,4
santajo01,4
santibe01,1
santoro01,4
sasakka01,0
sauerha01,11
saxst01,1
schalra01,2
schanwa01,0
scheiri01,7
scherma01,5
schilcu01,5
schmija01,9
schmijo01,7
schmimi01,2
schmiwa01,4
schoere01,8
schoupe01,4
schulfr01,4
schumha02,3
schwado01,0
sciosmi01,10
scorehe01,0
scottev01,6
scottge02,1
scottji01,6
scottmi03,7
scutama01,10
seageco01,1
seageky01,3
seaveto01,0
seweljo01,3
sewelri01,11
shantbo01,3
shawje01,7
sheffga01,4
sherdbi01,10
sherrla01,1
shockur01,4
siebeno01,2
sierrru01,3
sievero01,0
simmoal01,1
simmoan01,1
simmote01,9
singlke01,9
sislege01,1
sizemgr01,3
sizemte01,0
skowrbi01,6
slaugen01,3
smallro02,4
smithal03,9
smithea02,6
smithle02,3
smithlo01,4
smithoz01,2
smithre06,2
smithza01,3
smoltjo01,4
snidedu01,3
snowjt01,3
snydefr01,3
soriaal01,3
soriara01,8
sosasa01,6
sotoge01,3
spahnwa01,5
speaktr01,2
speiech01,1
spencji01,2
spencst01,2
springe01,3
squirmi01,6
stanaos01,5
stanked01,3
stanlmi01,4
stanlmi02,7
stantmi03,4
stargwi01,3
staubru01,15
