first,playerid,updated_salary,old_salary,increase in %
2007,papeljo01,8973713.200000000000,335400.000000000000,2575.5257006559332100
2007,fieldpr01,15258500.000000000000,329500.000000000000,4530.8042488619119900
2007,sizemgr01,3754166.375000000000,409150.000000000000,817.5525785164365100
2007,francje02,3023611.111111111111,384500.000000000000,686.3748013292876800
2007,rolliji01,8750000.000000000000,2046666.666666666667,327.5244299674267100
2007,peavyja01,12490727.100000000000,976250.000000000000,1179.4598822023047400
2007,penaca01,6433570.857142857143,854250.000000000000,653.1250637568460200
2007,youngdm01,3500000.000000000000,3845818.181818181818,-8.99205748865355521500
2007,sweenmi01,3162500.000000000000,5011916.666666666667,-36.90038741000615200900
2008,ramirar01,13625000.000000000000,4320555.555555555556,215.3529638678153500
2008,ludwiry01,4119428.571428571429,311100.000000000000,1224.1493318638931000
2008,quentca01,5032142.857142857143,381000.000000000000,1220.7724034495688000
2008,mclouna01,3382142.857142857143,360500.000000000000,838.1810976817911600
2008,lidgebr01,8670000.000000000000,2097000.000000000000,313.4477825464949900
2008,phillbr01,9462962.888888888889,354200.000000000000,2571.6439550787376900
2008,huffau01,7800000.000000000000,3765000.200000000000,107.1713037359201200
2008,hamelco01,13888888.888888888889,400000.000000000000,3372.2222222222222200
2008,victosh01,8075625.000000000000,346666.666666666667,2229.5072115384615400
2008,hamiljo03,12145619.888888888889,380000.000000000000,3096.2157602339181300
2008,leecl02,14500000.000000000000,871060.000000000000,1564.6384864418065300
2008,lestejo01,9796833.333333333333,384000.000000000000,2451.2586805555555600
2008,gonzaad01,13638476.111111111111,381166.666666666667,3478.0873050575717800
2008,molinya01,8905555.555555555556,416166.666666666667,2039.9012147910826300
2009,buehrma01,13500000.000000000000,5247500.000000000000,157.2653644592663200
2009,jonesad01,7724542.500000000000,390000.000000000000,1880.6519230769230800
2009,crawfca02,17084803.375000000000,2185833.333333333333,681.6150991231414400
2009,frankry01,2933333.333333333333,1390937.500000000000,110.8889388152475100
2009,hillaa01,7198750.000000000000,380333.333333333333,1792.7475898334794100
2009,greinza01,17724878.750000000000,625750.000000000000,2732.5815021973631600
2009,wainwad01,11726562.500000000000,474833.333333333333,2369.6165321165321200
2009,bellhe01,6459166.666666666667,402750.000000000000,1503.7657769501344900
2009,teahema01,4025000.000000000000,853500.000000000000,371.5875805506737000
2009,kempma01,13227125.000000000000,394500.000000000000,3252.8833967046894800
2009,ethiean01,11787500.000000000000,406000.000000000000,2803.3251231527093600
2009,bournmi01,6868500.000000000000,388000.000000000000,1670.2319587628866000
2009,matsuhi01,7750000.000000000000,10000000.000000000000,-22.50000000000000000000
2009,zimmery01,10850000.000000000000,396000.000000000000,2639.8989898989899000
2010,wakefti01,2750000.000000000000,3155937.500000000000,-12.86265966927418556300
2010,hudsoti01,9833333.333333333333,5640909.090909090909,74.32178350792371742900
2010,tulowtr01,11892857.142857142857,710333.333333333333,1574.2642622511228800
2010,soriara01,10198418.200000000000,1887500.000000000000,440.3135470198675500
2010,gutiefr01,4250000.000000000000,413766.666666666667,927.1489567389027600
2010,hernafe02,18961183.714285714286,1275000.000000000000,1387.1516638655462200
2010,gallayo01,7382682.285714285714,409000.000000000000,1705.0567935731749900
2010,ramiral03,5496428.571428571429,1168333.000000000000,370.4505112351163100
2010,rossco01,5850000.000000000000,830625.000000000000,604.2889390519187400
2010,ugglada01,9458054.333333333333,1621500.000000000000,483.2904306711892300
2010,arroybr01,10680773.400000000000,3461785.714285714286,208.5336378830083600
2010,bautijo02,11485714.285714285714,1224375.000000000000,838.0879457449135900
2010,vottojo01,12036709.285714285714,413750.000000000000,2809.1744497194648300
2010,liriafr01,6247619.000000000000,389000.000000000000,1506.0717223650385600
2011,butlebi03,7805444.500000000000,430000.000000000000,1715.2196511627907000
